 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 20   # Spanwise =100     First strip =  1
     Surface area =    0.050178       Ave. chord =    0.131700
     CLsurf  =   0.15714     Clsurf  =  -0.06834
     CYsurf  =   0.00034     Cmsurf  =  -0.13141
     CDsurf  =   0.00564     Cnsurf  =  -0.00010
     CDisurf =   0.00277     CDvsurf =   0.00288

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.31429     CDsurf  =   0.01129
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   164  -0.2689   0.1136   0.0006   0.0381   0.0352   0.3599   0.3358   0.0096   0.0055  -0.0482   0.1257    0.394
   165  -0.2743   0.1124   0.0006   0.0375   0.0357   0.3580   0.3341   0.0097   0.0055  -0.0479   0.1250    0.394
   166  -0.2796   0.1112   0.0006   0.0369   0.0363   0.3559   0.3321   0.0107   0.0055  -0.0476   0.1243    0.393
   167  -0.2849   0.1099   0.0006   0.0363   0.0369   0.3536   0.3300   0.0080   0.0054  -0.0473   0.1234    0.393
   168  -0.2900   0.1088   0.0006   0.0356   0.0375   0.3510   0.3275   0.0070   0.0054  -0.0469   0.1225    0.393
   169  -0.2951   0.1076   0.0005   0.0349   0.0382   0.3478   0.3245   0.0131   0.0054  -0.0465   0.1214    0.393
   170  -0.3000   0.1065   0.0005   0.0342   0.0390   0.3446   0.3215   0.0103   0.0054  -0.0460   0.1202    0.393
   171  -0.3049   0.1053   0.0005   0.0335   0.0398   0.3409   0.3181   0.0104   0.0054  -0.0455   0.1190    0.393
   172  -0.3096   0.1043   0.0005   0.0328   0.0407   0.3369   0.3144   0.0088   0.0053  -0.0450   0.1176    0.393
   173  -0.3142   0.1032   0.0005   0.0320   0.0417   0.3325   0.3102   0.0097   0.0053  -0.0444   0.1160    0.393
   174  -0.3187   0.1022   0.0005   0.0312   0.0427   0.3275   0.3056   0.0123   0.0053  -0.0438   0.1144    0.393
   175  -0.3231   0.1011   0.0004   0.0304   0.0438   0.3222   0.3006   0.0121   0.0053  -0.0431   0.1125    0.393
   176  -0.3273   0.1002   0.0004   0.0296   0.0449   0.3165   0.2954   0.0093   0.0053  -0.0424   0.1105    0.393
