#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.64181  0.58496 -0.04036 -1.01680  0.001678  0.000553  0.000411     3.035
   1.65057  0.59370 -0.03966 -1.01518  0.001705  0.000559  0.000395     3.049
   1.65934  0.60244 -0.03895 -1.01350  0.001734  0.000565  0.000377     3.067
   1.66812  0.61119 -0.03823 -1.01188  0.001761  0.000571  0.000362     3.082
   1.67691  0.61995 -0.03751 -1.01025  0.001789  0.000578  0.000346     3.098
   1.68571  0.62872 -0.03678 -1.00860  0.001819  0.000584  0.000330     3.116
   1.69452  0.63750 -0.03604 -1.00703  0.001845  0.000590  0.000318     3.128
   1.70334  0.64628 -0.03530 -1.00544  0.001873  0.000596  0.000305     3.144
   1.71216  0.65508 -0.03455 -1.00390  0.001900  0.000602  0.000293     3.156
   1.72099  0.66387 -0.03379 -1.00237  0.001926  0.000608  0.000282     3.169
   1.72981  0.67266 -0.03304 -1.00085  0.001953  0.000614  0.000272     3.182
   1.73864  0.68145 -0.03227 -0.99938  0.001977  0.000620  0.000263     3.192
   1.74746  0.69025 -0.03150 -0.99794  0.002001  0.000625  0.000255     3.201
   1.75629  0.69904 -0.03073 -0.99649  0.002027  0.000631  0.000246     3.213
   1.76512  0.70783 -0.02995 -0.99504  0.002054  0.000637  0.000237     3.225
   1.77395  0.71663 -0.02916 -0.99361  0.002080  0.000643  0.000228     3.237
   1.78279  0.72543 -0.02837 -0.99222  0.002105  0.000648  0.000221     3.247
   1.79163  0.73424 -0.02757 -0.99086  0.002129  0.000654  0.000214     3.256
   1.80048  0.74305 -0.02677 -0.98953  0.002151  0.000659  0.000209     3.263
   1.80933  0.75187 -0.02597 -0.98827  0.002169  0.000665  0.000206     3.263
   1.81819  0.76069 -0.02516 -0.98704  0.002186  0.000670  0.000205     3.263
   1.82704  0.76950 -0.02435 -0.98591  0.002196  0.000675  0.000207     3.254
   1.83589  0.77831 -0.02353 -0.98487  0.002201  0.000679  0.000212     3.239
   1.84473  0.78711 -0.02272 -0.98399  0.002196  0.000684  0.000223     3.213
   1.85356  0.79591 -0.02189 -0.98328  0.002183  0.000687  0.000240     3.176
   1.86239  0.80470 -0.02107 -0.98300  0.002146  0.000689  0.000272     3.113
   1.87122  0.81349 -0.02024 -0.97854  0.002073  0.000706  0.000369     2.934
   1.88004  0.82227 -0.01940 -0.97150  0.001967  0.000733  0.000558     2.683
